"CASE","SERIAL","REF","QUESTNNR","MODE","LANGUAGE","STARTED","A001","A002","A003","A004","A005","A006","A007","A008","A013","A014","A015","A016","A020_CP","A020","TIME001","TIME002","TIME003","TIME004","TIME005","TIME006","TIME007","TIME008","TIME009","TIME010","TIME011","TIME012","TIME013","TIME_SUM","MAILSENT","LASTDATA","FINISHED","Q_VIEWER","LASTPAGE","MAXPAGE","MISSING","MISSREL","TIME_RSI"
532,,,"base","interview","ger",2024-01-08 12:11:06,2,2,1,2,1,2,2,1,2,2,1,1,0,55849594,82,22,4,4,6,22,8,4,11,6,23,4,5,201,,2024-01-08 12:14:27,1,0,13,13,0,0,177
534,,,"base","interview","ger",2024-01-08 12:36:43,2,3,2,1,3,2,2,2,2,2,2,3,0,51544439,15,20,11,8,9,22,7,11,10,17,12,13,19,174,,2024-01-08 12:39:37,1,0,13,13,0,0,129
536,,,"base","interview","ger",2024-01-08 14:17:48,2,1,2,1,2,1,2,1,2,1,1,3,0,65447874,6,7,6,7,7,17,32,18,11,6,47,14,31,174,,2024-01-08 14:21:17,1,0,13,13,0,0,131
537,,,"base","interview","ger",2024-01-08 15:27:12,2,1,2,1,2,1,2,1,2,1,2,1,0,62291648,113,26,12,5,32,20,21,25,10,17,8,32,77,310,,2024-01-08 15:33:50,1,0,13,13,0,0,082
538,,,"base","interview","ger",2024-01-08 16:29:24,2,1,2,1,2,2,2,1,1,1,3,3,0,21156533,284,11,18,12,9,16,16,16,8,7,7,18,11,214,,2024-01-08 16:36:37,1,0,13,13,0,0,114
539,,,"base","interview","ger",2024-01-08 18:59:57,2,1,2,1,2,3,3,1,2,3,1,3,0,99944892,102,18,5,5,6,30,42,52,12,45,54,59,65,402,,2024-01-08 19:08:12,1,0,13,13,0,0,072
540,,,"base","interview","eng",2024-01-08 19:12:34,2,1,2,1,1,3,3,3,1,1,2,1,0,47313922,530,6,10,8,13,12,59,31,31,8,14,12,12,242,,2024-01-08 19:25:00,1,0,13,13,0,0,102
541,,,"base","interview","ger",2024-01-10 16:16:16,2,1,2,2,,,,,,,,,,,130,36,27,14,17,,,,,,,,,205,,2024-01-10 16:20:00,0,0,5,5,0,0,043
542,,,"base","interview","ger",2024-01-10 16:20:19,2,2,2,2,3,3,2,3,2,1,3,1,0,61141576,5,30,6,21,7,39,47,45,37,30,9,31,13,307,,2024-01-10 16:25:39,1,0,13,13,0,0,087
543,,,"base","interview","ger",2024-01-10 21:10:07,2,1,2,1,2,2,1,1,2,2,2,2,0,15723994,9,16,11,10,2,15,22,14,5,10,5,33,13,165,,2024-01-10 21:12:52,1,0,13,13,0,0,154
